timestamp,job_name,job_type,business_service,status,duration_minutes,sla_minutes,sla_risk,owner_team
2026-05-31 00:00:00,Payroll_Process,BPE,Payroll,Success,8,45,False,App Support
2026-05-31 00:00:00,Benefits_Update,BPE,HR,Success,4,45,False,Production Control
2026-05-31 00:00:00,Nightly_Backup,BPE,Backup,Success,58,60,False,App Support
2026-05-31 00:00:00,Tax_Record_Sync,BPE,Finance,Delayed,27,45,True,Production Control
2026-05-31 00:00:00,DMV_Transactions,TPE,Citizen Services,Success,22,10,True,Infrastructure
2026-05-31 00:00:00,Claims_Processing,TPE,Insurance,Success,4,10,False,Infrastructure
2026-05-31 00:00:00,Identity_Verification,TPE,IAM,Success,4,8,False,Production Control
2026-05-31 00:00:00,Payment_Gateway_Check,TPE,Payments,Success,3,6,False,Infrastructure
2026-05-31 01:00:00,Payroll_Process,BPE,Payroll,Success,31,45,False,NOC
2026-05-31 01:00:00,Benefits_Update,BPE,HR,Success,14,45,False,App Support
2026-05-31 01:00:00,Nightly_Backup,BPE,Backup,Success,11,60,False,Production Control
2026-05-31 01:00:00,Tax_Record_Sync,BPE,Finance,Success,68,45,True,NOC
2026-05-31 01:00:00,DMV_Transactions,TPE,Citizen Services,Success,2,10,False,NOC
2026-05-31 01:00:00,Claims_Processing,TPE,Insurance,Success,15,10,True,App Support
2026-05-31 01:00:00,Identity_Verification,TPE,IAM,Success,4,8,False,NOC
2026-05-31 01:00:00,Payment_Gateway_Check,TPE,Payments,Success,5,6,False,Infrastructure
2026-05-31 02:00:00,Payroll_Process,BPE,Payroll,Success,40,45,False,Production Control
2026-05-31 02:00:00,Benefits_Update,BPE,HR,Success,20,45,False,NOC
2026-05-31 02:00:00,Nightly_Backup,BPE,Backup,Success,23,60,False,Production Control
2026-05-31 02:00:00,Tax_Record_Sync,BPE,Finance,Delayed,21,45,True,App Support
2026-05-31 02:00:00,DMV_Transactions,TPE,Citizen Services,Success,8,10,False,NOC
2026-05-31 02:00:00,Claims_Processing,TPE,Insurance,Success,6,10,False,App Support
2026-05-31 02:00:00,Identity_Verification,TPE,IAM,Delayed,13,8,True,Infrastructure
2026-05-31 02:00:00,Payment_Gateway_Check,TPE,Payments,Success,6,6,False,NOC
2026-05-31 03:00:00,Payroll_Process,BPE,Payroll,Success,33,45,False,Infrastructure
2026-05-31 03:00:00,Benefits_Update,BPE,HR,Failed,5,45,True,Infrastructure
2026-05-31 03:00:00,Nightly_Backup,BPE,Backup,Success,28,60,False,Production Control
2026-05-31 03:00:00,Tax_Record_Sync,BPE,Finance,Success,52,45,True,NOC
2026-05-31 03:00:00,DMV_Transactions,TPE,Citizen Services,Success,9,10,False,NOC
2026-05-31 03:00:00,Claims_Processing,TPE,Insurance,Success,9,10,False,NOC
2026-05-31 03:00:00,Identity_Verification,TPE,IAM,Failed,18,8,True,NOC
2026-05-31 03:00:00,Payment_Gateway_Check,TPE,Payments,Delayed,13,6,True,Production Control
2026-05-31 04:00:00,Payroll_Process,BPE,Payroll,Failed,51,45,True,App Support
2026-05-31 04:00:00,Benefits_Update,BPE,HR,Success,48,45,True,Production Control
2026-05-31 04:00:00,Nightly_Backup,BPE,Backup,Delayed,62,60,True,NOC
2026-05-31 04:00:00,Tax_Record_Sync,BPE,Finance,Success,4,45,False,NOC
2026-05-31 04:00:00,DMV_Transactions,TPE,Citizen Services,Success,10,10,False,NOC
2026-05-31 04:00:00,Claims_Processing,TPE,Insurance,Success,14,10,True,App Support
2026-05-31 04:00:00,Identity_Verification,TPE,IAM,Success,15,8,True,NOC
2026-05-31 04:00:00,Payment_Gateway_Check,TPE,Payments,Success,22,6,True,Production Control
2026-05-31 05:00:00,Payroll_Process,BPE,Payroll,Success,37,45,False,NOC
2026-05-31 05:00:00,Benefits_Update,BPE,HR,Delayed,67,45,True,Production Control
2026-05-31 05:00:00,Nightly_Backup,BPE,Backup,Success,70,60,True,NOC
2026-05-31 05:00:00,Tax_Record_Sync,BPE,Finance,Success,41,45,False,Production Control
2026-05-31 05:00:00,DMV_Transactions,TPE,Citizen Services,Success,3,10,False,App Support
2026-05-31 05:00:00,Claims_Processing,TPE,Insurance,Success,5,10,False,NOC
2026-05-31 05:00:00,Identity_Verification,TPE,IAM,Success,11,8,True,Production Control
2026-05-31 05:00:00,Payment_Gateway_Check,TPE,Payments,Success,5,6,False,Production Control
2026-05-31 06:00:00,Payroll_Process,BPE,Payroll,Success,3,45,False,Infrastructure
2026-05-31 06:00:00,Benefits_Update,BPE,HR,Success,68,45,True,Infrastructure
2026-05-31 06:00:00,Nightly_Backup,BPE,Backup,Success,23,60,False,Infrastructure
2026-05-31 06:00:00,Tax_Record_Sync,BPE,Finance,Success,17,45,False,NOC
2026-05-31 06:00:00,DMV_Transactions,TPE,Citizen Services,Success,12,10,True,Infrastructure
2026-05-31 06:00:00,Claims_Processing,TPE,Insurance,Success,18,10,True,NOC
2026-05-31 06:00:00,Identity_Verification,TPE,IAM,Success,17,8,True,Infrastructure
2026-05-31 06:00:00,Payment_Gateway_Check,TPE,Payments,Success,3,6,False,Production Control
2026-05-31 07:00:00,Payroll_Process,BPE,Payroll,Success,49,45,True,NOC
2026-05-31 07:00:00,Benefits_Update,BPE,HR,Success,16,45,False,NOC
2026-05-31 07:00:00,Nightly_Backup,BPE,Backup,Failed,7,60,True,NOC
2026-05-31 07:00:00,Tax_Record_Sync,BPE,Finance,Success,33,45,False,Infrastructure
2026-05-31 07:00:00,DMV_Transactions,TPE,Citizen Services,Delayed,14,10,True,Production Control
2026-05-31 07:00:00,Claims_Processing,TPE,Insurance,Success,3,10,False,App Support
2026-05-31 07:00:00,Identity_Verification,TPE,IAM,Success,9,8,True,App Support
2026-05-31 07:00:00,Payment_Gateway_Check,TPE,Payments,Success,12,6,True,NOC
2026-05-31 08:00:00,Payroll_Process,BPE,Payroll,Success,49,45,True,NOC
2026-05-31 08:00:00,Benefits_Update,BPE,HR,Success,24,45,False,NOC
2026-05-31 08:00:00,Nightly_Backup,BPE,Backup,Success,53,60,False,App Support
2026-05-31 08:00:00,Tax_Record_Sync,BPE,Finance,Success,38,45,False,Infrastructure
2026-05-31 08:00:00,DMV_Transactions,TPE,Citizen Services,Success,12,10,True,App Support
2026-05-31 08:00:00,Claims_Processing,TPE,Insurance,Success,2,10,False,Infrastructure
2026-05-31 08:00:00,Identity_Verification,TPE,IAM,Success,20,8,True,Production Control
2026-05-31 08:00:00,Payment_Gateway_Check,TPE,Payments,Success,16,6,True,App Support
2026-05-31 09:00:00,Payroll_Process,BPE,Payroll,Success,27,45,False,Production Control
2026-05-31 09:00:00,Benefits_Update,BPE,HR,Success,21,45,False,App Support
2026-05-31 09:00:00,Nightly_Backup,BPE,Backup,Success,5,60,False,Infrastructure
2026-05-31 09:00:00,Tax_Record_Sync,BPE,Finance,Delayed,3,45,True,NOC
2026-05-31 09:00:00,DMV_Transactions,TPE,Citizen Services,Failed,14,10,True,Infrastructure
2026-05-31 09:00:00,Claims_Processing,TPE,Insurance,Success,5,10,False,Production Control
2026-05-31 09:00:00,Identity_Verification,TPE,IAM,Success,15,8,True,NOC
2026-05-31 09:00:00,Payment_Gateway_Check,TPE,Payments,Success,6,6,False,NOC
2026-05-31 10:00:00,Payroll_Process,BPE,Payroll,Delayed,7,45,True,App Support
2026-05-31 10:00:00,Benefits_Update,BPE,HR,Success,49,45,True,NOC
2026-05-31 10:00:00,Nightly_Backup,BPE,Backup,Success,14,60,False,App Support
2026-05-31 10:00:00,Tax_Record_Sync,BPE,Finance,Success,11,45,False,NOC
2026-05-31 10:00:00,DMV_Transactions,TPE,Citizen Services,Success,15,10,True,Production Control
2026-05-31 10:00:00,Claims_Processing,TPE,Insurance,Success,9,10,False,Infrastructure
2026-05-31 10:00:00,Identity_Verification,TPE,IAM,Success,14,8,True,Infrastructure
2026-05-31 10:00:00,Payment_Gateway_Check,TPE,Payments,Success,12,6,True,Production Control
2026-05-31 11:00:00,Payroll_Process,BPE,Payroll,Delayed,11,45,True,Production Control
2026-05-31 11:00:00,Benefits_Update,BPE,HR,Success,15,45,False,Production Control
2026-05-31 11:00:00,Nightly_Backup,BPE,Backup,Success,59,60,False,App Support
2026-05-31 11:00:00,Tax_Record_Sync,BPE,Finance,Success,17,45,False,Production Control
2026-05-31 11:00:00,DMV_Transactions,TPE,Citizen Services,Success,16,10,True,Infrastructure
2026-05-31 11:00:00,Claims_Processing,TPE,Insurance,Success,5,10,False,Infrastructure
2026-05-31 11:00:00,Identity_Verification,TPE,IAM,Success,21,8,True,Infrastructure
